Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Algeria,UM,UM,UM,UM,LM,LM,LM,LM,UM,UM
American Samoa,UM,UM,UM,UM,UM,UM,UM,H,H,H
Andorra,H,H,H,H,H,H,H,H,H,H
Angola,UM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Antigua and Barbuda,H,H,H,H,H,H,H,H,H,H
Argentina,UM,UM,H,UM,UM,UM,UM,UM,UM,UM
Armenia,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM
Aruba,H,H,H,H,H,H,H,H,H,H
Australia,H,H,H,H,H,H,H,H,H,H
Austria,H,H,H,H,H,H,H,H,H,H
Azerbaijan,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
"Bahamas, The",H,H,H,H,H,H,H,H,H,H
Bahrain,H,H,H,H,H,H,H,H,H,H
Bangladesh,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Barbados,H,H,H,H,H,H,H,H,H,H
Belarus,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Belgium,H,H,H,H,H,H,H,H,H,H
Belize,UM,UM,UM,UM,UM,LM,UM,UM,UM,UM
Benin,L,L,L,L,LM,LM,LM,LM,LM,LM
Bermuda,H,H,H,H,H,H,H,H,H,H
Bhutan,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Bolivia,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Bosnia and Herzegovina,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Botswana,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Brazil,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
British Virgin Islands,H,H,H,H,H,H,H,H,H,H
Brunei Darussalam,H,H,H,H,H,H,H,H,H,H
Bulgaria,UM,UM,UM,UM,UM,UM,UM,UM,H,H
Burkina Faso,L,L,L,L,L,L,L,L,L,L
Burundi,L,L,L,L,L,L,L,L,L,L
Cabo Verde,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM
Cambodia,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Cameroon,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Canada,H,H,H,H,H,H,H,H,H,H
Cayman Islands,H,H,H,H,H,H,H,H,H,H
Central African Republic,L,L,L,L,L,L,L,L,L,L
Chad,L,L,L,L,L,L,L,L,L,L
Channel Islands,H,H,H,H,H,H,H,H,H,H
Chile,H,H,H,H,H,H,H,H,H,H
China,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Colombia,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Comoros,L,L,L,LM,LM,LM,LM,LM,LM,LM
"Congo, Dem. Rep.",L,L,L,L,L,L,L,L,L,L
"Congo, Rep.",LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Costa Rica,UM,UM,UM,UM,UM,UM,UM,UM,UM,H
Côte d'Ivoire,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Croatia,H,UM,H,H,H,H,H,H,H,H
Cuba,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Curaçao,H,H,H,H,H,H,H,H,H,H
Cyprus,H,H,H,H,H,H,H,H,H,H
Czechia,H,H,H,H,H,H,H,H,H,H
Denmark,H,H,H,H,H,H,H,H,H,H
Djibouti,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Dominica,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Dominican Republic,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Ecuador,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
"Egypt, Arab Rep.",LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
El Salvador,LM,LM,LM,LM,LM,LM,LM,UM,UM,UM
Equatorial Guinea,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Eritrea,L,L,L,L,L,L,L,L,L,L
Estonia,H,H,H,H,H,H,H,H,H,H
Eswatini,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Ethiopia,L,L,L,L,L,L,L,L,L,L
Faeroe Islands,H,H,H,H,H,H,H,H,H,H
Fiji,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Finland,H,H,H,H,H,H,H,H,H,H
France,H,H,H,H,H,H,H,H,H,H
French Polynesia,H,H,H,H,H,H,H,H,H,H
Gabon,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
"Gambia, The",L,L,L,L,L,L,L,L,L,L
Georgia,UM,LM,LM,UM,UM,UM,UM,UM,UM,UM
Germany,H,H,H,H,H,H,H,H,H,H
Ghana,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Gibraltar,H,H,H,H,H,H,H,H,H,H
Greece,H,H,H,H,H,H,H,H,H,H
Greenland,H,H,H,H,H,H,H,H,H,H
Grenada,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Guam,H,H,H,H,H,H,H,H,H,H
Guatemala,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM
Guinea,L,L,L,L,L,L,L,LM,LM,LM
Guinea-Bissau,L,L,L,L,L,L,L,L,L,L
Guyana,UM,UM,UM,UM,UM,UM,UM,H,H,H
Haiti,L,L,L,L,L,LM,LM,LM,LM,LM
Honduras,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
"Hong Kong SAR, China",H,H,H,H,H,H,H,H,H,H
Hungary,H,H,H,H,H,H,H,H,H,H
Iceland,H,H,H,H,H,H,H,H,H,H
India,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Indonesia,LM,LM,LM,LM,UM,LM,LM,UM,UM,UM
"Iran, Islamic Rep.",UM,UM,UM,UM,UM,LM,LM,LM,UM,UM
Iraq,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Ireland,H,H,H,H,H,H,H,H,H,H
Isle of Man,H,H,H,H,H,H,H,H,H,H
Israel,H,H,H,H,H,H,H,H,H,H
Italy,H,H,H,H,H,H,H,H,H,H
Jamaica,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Japan,H,H,H,H,H,H,H,H,H,H
Jordan,UM,LM,UM,UM,UM,UM,UM,LM,LM,LM
Kazakhstan,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Kenya,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Kiribati,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
"Korea, Dem. Rep.",L,L,L,L,L,L,L,L,L,L
"Korea, Rep.",H,H,H,H,H,H,H,H,H,H
Kosovo,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM
Kuwait,H,H,H,H,H,H,H,H,H,H
Kyrgyz Republic,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Lao PDR,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Latvia,H,H,H,H,H,H,H,H,H,H
Lebanon,UM,UM,UM,UM,UM,UM,LM,LM,LM,LM
Lesotho,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Liberia,L,L,L,L,L,L,L,L,L,L
Libya,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Liechtenstein,H,H,H,H,H,H,H,H,H,H
Lithuania,H,H,H,H,H,H,H,H,H,H
Luxembourg,H,H,H,H,H,H,H,H,H,H
"Macao SAR, China",H,H,H,H,H,H,H,H,H,H
Madagascar,L,L,L,L,L,L,L,L,L,L
Malawi,L,L,L,L,L,L,L,L,L,L
Malaysia,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Maldives,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Mali,L,L,L,L,L,L,L,L,L,L
Malta,H,H,H,H,H,H,H,H,H,H
Marshall Islands,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Mauritania,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Mauritius,UM,UM,UM,UM,H,UM,UM,UM,UM,UM
Mexico,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
"Micronesia, Fed. Sts.",LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Moldova,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM
Monaco,H,H,H,H,H,H,H,H,H,H
Mongolia,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM
Montenegro,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Morocco,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Mozambique,L,L,L,L,L,L,L,L,L,L
Myanmar,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Namibia,UM,UM,UM,UM,UM,UM,UM,UM,UM,LM
Nauru,H,UM,UM,UM,H,H,H,H,H,H
Nepal,L,L,L,L,LM,LM,LM,LM,LM,LM
Netherlands,H,H,H,H,H,H,H,H,H,H
New Caledonia,H,H,H,H,H,H,H,H,H,H
New Zealand,H,H,H,H,H,H,H,H,H,H
Nicaragua,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Niger,L,L,L,L,L,L,L,L,L,L
Nigeria,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
North Macedonia,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Northern Mariana Islands,H,H,H,H,H,H,H,H,H,H
Norway,H,H,H,H,H,H,H,H,H,H
Oman,H,H,H,H,H,H,H,H,H,H
Pakistan,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Palau,UM,H,H,H,H,H,UM,UM,H,H
Panama,UM,UM,H,H,H,UM,H,H,H,H
Papua New Guinea,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Paraguay,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Peru,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Philippines,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Poland,H,H,H,H,H,H,H,H,H,H
Portugal,H,H,H,H,H,H,H,H,H,H
Puerto Rico (U.S.),H,H,H,H,H,H,H,H,H,H
Qatar,H,H,H,H,H,H,H,H,H,H
Romania,UM,UM,UM,UM,H,UM,H,H,H,H
Russian Federation,UM,UM,UM,UM,UM,UM,UM,UM,H,H
Rwanda,L,L,L,L,L,L,L,L,L,L
Samoa,LM,UM,UM,UM,UM,LM,LM,LM,LM,UM
San Marino,H,H,H,H,H,H,H,H,H,H
São Tomé and Príncipe,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Saudi Arabia,H,H,H,H,H,H,H,H,H,H
Senegal,L,L,L,LM,LM,LM,LM,LM,LM,LM
Serbia,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Seychelles,H,H,H,H,H,H,H,H,H,H
Sierra Leone,L,L,L,L,L,L,L,L,L,L
Singapore,H,H,H,H,H,H,H,H,H,H
Sint Maarten (Dutch part),H,H,H,H,H,H,H,H,H,H
Slovak Republic,H,H,H,H,H,H,H,H,H,H
Slovenia,H,H,H,H,H,H,H,H,H,H
Solomon Islands,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
"Somalia, Fed. Rep.",L,L,L,L,L,L,L,L,L,L
South Africa,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
South Sudan,L,L,L,L,L,L,L,L,L,L
Spain,H,H,H,H,H,H,H,H,H,H
Sri Lanka,LM,LM,LM,UM,LM,LM,LM,LM,LM,LM
St. Kitts and Nevis,H,H,H,H,H,H,H,H,H,H
St. Lucia,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
St. Martin (French part),H,H,H,H,H,H,H,H,H,H
St. Vincent and the Grenadines,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Sudan,LM,LM,LM,LM,L,L,L,L,L,L
Suriname,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Sweden,H,H,H,H,H,H,H,H,H,H
Switzerland,H,H,H,H,H,H,H,H,H,H
Syrian Arab Republic,LM,LM,L,L,L,L,L,L,L,L
"Taiwan, China",H,H,H,H,H,H,H,H,H,H
Tajikistan,LM,LM,L,L,L,LM,LM,LM,LM,LM
Tanzania,L,L,L,L,LM,LM,LM,LM,LM,LM
